x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y1,y2
623,16,247,1650,150,1410,8900,10,30,27,761,370
620,16,247,1650,150,1410,8900,10,30,27,1380,364
613,16,247,1650,150,1410,8900,10,30,27,2930,342
607,16,247,1650,150,1410,8900,10,30,27,4340,322
634,15,149,1610,1110,466,7360,0,5,0,407,194
627,15,149,1610,1110,466,7360,0,5,0,991,192
622,15,149,1610,1110,466,7360,0,5,0,1580,190
611,15,149,1610,1110,466,7360,0,5,0,3170,184
602,15.1,149,1610,1110,466,7360,0,5,0,4900,174
627,16,445,592,1550,1650,9620,6,10,9,192,415
625,16,445,592,1550,1650,9620,6,10,9,959,407
625,16,445,592,1550,1650,9620,6,10,9,875,408
619,16,445,592,1550,1650,9620,6,10,9,2590,389
614,16,445,592,1550,1650,9620,6,10,9,4310,372
628,15,252,1100,2850,888,9950,18,29,18,651,535
627,15,252,1100,2850,888,9950,18,29,18,1110,528
624,15,252,1100,2850,888,9950,18,29,18,1740,519
619,15,252,1100,2850,888,9950,18,29,18,3350,489
614,15,252,1100,2850,888,9950,18,29,18,4880,460
609,13,234,320,1130,1880,6380,11,25,16,309,511
607,13,234,320,1130,1880,6380,11,25,16,983,497
605,13,234,320,1130,1880,6380,11,25,16,1670,478
600,13,234,320,1130,1880,6380,11,25,16,3320,434
594,13.1,234,320,1130,1880,6380,11,25,16,4890,380
628,16,325,962,2840,778,7930,13,16,4,219,394
626,16,325,962,2840,778,7930,13,16,4,701,389
623,16,325,962,2840,778,7930,13,16,4,1560,381
618,16,325,962,2840,778,7930,13,16,4,3230,366
612,16,325,962,2840,778,7930,13,16,4,4910,346
623,13,108,981,2730,1940,9540,22,15,19,270,691
621,13,108,981,2730,1940,9540,22,15,19,953,673
619,13,108,981,2730,1940,9540,22,15,19,1650,655
615,13,108,981,2730,1940,9540,22,15,19,3400,605
611,13.1,108,981,2730,1940,9540,22,15,19,5130,553
619,15,332,190,2740,934,7150,16,13,11,282,396
616,15,332,190,2740,934,7150,16,13,11,952,388
614,15,332,190,2740,934,7150,16,13,11,1630,379
608,15,332,190,2740,934,7150,16,13,11,3320,353
603,15.1,332,190,2740,934,7150,16,13,11,4940,326
617,13,438,2040,3160,499,7520,26,3,28,257,649
615,13,438,2040,3160,499,7520,26,3,28,946,631
613,13,438,2040,3160,499,7520,26,3,28,1630,613
609,13,438,2040,3160,499,7520,26,3,28,3350,563
605,13.1,438,2040,3160,499,7520,26,3,28,4980,512
621,18,442,1800,701,605,7120,22,24,22,320,282
619,18,442,1800,701,605,7120,22,24,22,923,279
616,18,442,1800,701,605,7120,22,24,22,1520,275
609,18,442,1800,701,605,7120,22,24,22,2940,262
602,18,442,1800,701,605,7120,22,24,22,4130,252
642,18,298,2140,3340,2150,8050,5,13,7,12.3,565
640,18,298,2140,3340,2150,8050,5,13,7,700,556
638,18,298,2140,3340,2150,8050,5,13,7,1390,548
634,18,298,2140,3340,2150,8050,5,13,7,3150,525
630,18,298,2140,3340,2150,8050,5,13,7,4900,503
617,14,360,1210,901,727,8280,24,16,1,145,438
614,14,360,1210,901,727,8280,24,16,1,798,428
611,14,360,1210,901,727,8280,24,16,1,1460,417
604,14,360,1210,901,727,8280,24,16,1,3140,384
598,14,360,1210,901,727,8280,24,16,1,4730,351
622,12,12,1570,2960,1650,9460,29,20,25,128,810
620,12,12,1570,2960,1650,9460,29,20,25,812,785
618,12,12,1570,2960,1650,9460,29,20,25,1490,761
614,12,12,1570,2960,1650,9460,29,20,25,3220,694
609,12,12,1570,2960,1650,9460,29,20,25,4880,629
635,17,102,30,1870,1210,8480,1,24,19,459,239
631,17,102,30,1870,1210,8480,1,24,19,1030,236
626,17,102,30,1870,1210,8480,1,24,19,1650,233
617,17,102,30,1870,1210,8480,1,24,19,3220,224
610,17,102,30,1870,1210,8480,1,24,19,4810,214
634,18,448,2220,676,2050,8490,11,22,1,361,445
632,18,448,2220,676,2050,8490,11,22,1,1040,439
630,18,448,2220,676,2050,8490,11,22,1,1730,433
625,18,448,2220,676,2050,8490,11,22,1,3440,416
621,18,448,2220,676,2050,8490,11,22,1,5120,399
620,13,154,2180,1110,1960,7650,11,19,5,442,641
618,13,154,2180,1110,1960,7650,11,19,5,1140,627
616,13,154,2180,1110,1960,7650,11,19,5,1850,610
612,13.1,154,2180,1110,1960,7650,11,19,5,3660,565
607,13.1,154,2180,1110,1960,7650,11,19,5,5430,518
631,14,135,1350,3540,115,9180,5,21,17,726,445
628,14,135,1350,3540,115,9180,5,21,17,1400,435
625,14,135,1350,3540,115,9180,5,21,17,1960,432
618,14,135,1350,3540,115,9180,5,21,17,3580,411
612,14,135,1350,3540,115,9180,5,21,17,5250,385
631,14,107,2250,3590,8,9580,27,24,21,111,565
629,14,107,2250,3590,8,9580,27,24,21,769,552
626,14,107,2250,3590,8,9580,27,24,21,1370,540
620,14,107,2250,3590,8,9580,27,24,21,2960,507
615,14,107,2250,3590,8,9580,27,24,21,4470,480
626,18,370,223,2610,150,6520,3,23,20,153,215
622,18,370,223,2610,150,6520,3,23,20,765,215
619,18,370,223,2610,150,6520,3,23,20,1390,213
610,18,370,223,2610,150,6520,3,23,20,2940,208
603,18,370,223,2610,150,6520,3,23,20,4350,201
640,13,28,128,3110,297,8340,2,19,1,490,315
632,13,28,128,3110,297,8340,2,19,1,1020,309
627,13,28,128,3110,297,8340,2,19,1,1510,309
615,12.9,28,128,3110,297,8340,2,19,1,3000,300
606,13,28,128,3110,297,8340,2,19,1,4680,279
638,17,380,1570,1050,282,9460,1,17,5,678,225
633,17,380,1570,1050,282,9460,1,17,5,1260,225
629,17,380,1570,1050,282,9460,1,17,5,1710,225
623,17,380,1570,1050,282,9460,1,17,5,2800,226
614,17,380,1570,1050,282,9460,1,17,5,4430,223
618,12.1,203,979,3030,1970,7600,2,2,18,238,702
616,12,203,979,3030,1970,7600,2,2,18,888,695
614,12,203,979,3030,1970,7600,2,2,18,1610,676
610,12,203,979,3030,1970,7600,2,2,18,3440,628
606,12,203,979,3030,1970,7600,2,2,18,5280,576
628,17,53,130,3510,1440,6820,21,4,20,598,299
627,17,53,130,3510,1440,6820,21,4,20,844,296
624,17,53,130,3510,1440,6820,21,4,20,1510,289
618,17,53,130,3510,1440,6820,21,4,20,3190,270
613,17,53,130,3510,1440,6820,21,4,20,4830,252
622,14,180,1860,2200,116,7260,28,4,3,157,340
619,14,180,1860,2200,116,7260,28,4,3,783,334
616,14,180,1860,2200,116,7260,28,4,3,1430,326
609,14.1,180,1860,2200,116,7260,28,4,3,3120,303
602,14,180,1860,2200,116,7260,28,4,3,4740,283
634,18,142,1780,2820,955,7040,20,7,26,305,305
631,18,142,1780,2820,955,7040,20,7,26,943,299
628,18,142,1780,2820,955,7040,20,7,26,1680,292
623,18,142,1780,2820,955,7040,20,7,26,3250,277
617,18,142,1780,2820,955,7040,20,7,26,4830,262
627,13,7,2390,2620,1130,8630,16,17,12,274,624
625,13,7,2390,2620,1130,8630,16,17,12,959,608
623,13,7,2390,2620,1130,8630,16,17,12,1650,590
617,13.1,7,2390,2620,1130,8630,16,17,12,3390,551
613,13,7,2390,2620,1130,8630,16,17,12,5060,519
619,14,56,1100,1680,2090,7380,29,16,13,635,493
617,14,56,1100,1680,2090,7380,29,16,13,1320,478
615,14,56,1100,1680,2090,7380,29,16,13,2010,464
610,14,56,1100,1680,2090,7380,29,16,13,3720,425
605,14.1,56,1100,1680,2090,7380,29,16,13,5340,387
625,14,363,473,439,900,9530,4,7,1,465,283
618,14,363,473,439,900,9530,4,7,1,1120,286
613,14,363,473,439,900,9530,4,7,1,1750,282
603,14,363,473,439,900,9530,4,7,1,3370,273
595,14.1,363,473,439,900,9530,4,7,1,5140,251
617,12.1,421,1420,1800,131,9810,13,0,19,153,523
613,12,421,1420,1800,131,9810,13,0,19,752,518
610,12,421,1420,1800,131,9810,13,0,19,1400,505
603,12,421,1420,1800,131,9810,13,0,19,3100,463
597,12.1,421,1420,1800,131,9810,13,0,19,4840,412
628,15,39,1710,3600,1810,6190,29,21,7,266,596
626,15,39,1710,3600,1810,6190,29,21,7,977,581
624,15,39,1710,3600,1810,6190,29,21,7,1720,567
620,15,39,1710,3600,1810,6190,29,21,7,3410,533
616,15,39,1710,3600,1810,6190,29,21,7,5080,501
622,14,268,2150,1010,2050,8090,21,3,0,273,553
620,14,268,2150,1010,2050,8090,21,3,0,976,541
618,14,268,2150,1010,2050,8090,21,3,0,1690,527
614,14,268,2150,1010,2050,8090,21,3,0,3500,492
610,14.1,268,2150,1010,2050,8090,21,3,0,5290,456
616,13,240,651,631,866,9300,19,12,24,43.9,398
612,13,240,651,631,866,9300,19,12,24,639,388
608,13,240,651,631,866,9300,19,12,24,1260,375
600,13,240,651,631,866,9300,19,12,24,2840,338
592,13,240,651,631,866,9300,19,12,24,4370,294
614,12,122,2060,1960,1360,6230,4,18,19,617,626
612,12,122,2060,1960,1360,6230,4,18,19,1300,611
610,12,122,2060,1960,1360,6230,4,18,19,2010,592
605,11.9,122,2060,1960,1360,6230,4,18,19,3720,551
601,12,122,2060,1960,1360,6230,4,18,19,5450,496
